pl_name,hostname,galactic_latitude,galactic_longitude,distance,visual_mag
11 Com b,11 Com,78.28058,264.13775,93.1846,4.72307
11 UMi b,11 UMi,41.04437,108.719,125.321,5.013
14 And b,14 And,-21.05141,106.41269,75.4392,5.23133
14 Her b,14 Her,46.94447,69.16849,17.9323,6.61935
16 Cyg B b,16 Cyg B,13.20446,83.33558,21.1397,6.215
17 Sco b,17 Sco,27.34301,1.30262,124.953,5.22606
18 Del b,18 Del,-21.9748,58.69121,76.222,5.51048
1RXS J160929.1-210524 b,1RXS J160929.1-210524,22.03031,352.8905,139.135,12.618
24 Boo b,24 Boo,60.6447,90.16373,95.9863,5.59
24 Sex b,24 Sex,44.7158,245.08569,72.0691,6.4535
24 Sex c,24 Sex,44.7158,245.08569,72.0691,6.4535
2M0437 b,2MASS J04372171+2651014,-13.44593,172.81975,128.484,16.186
2MASS J01225093-2439505 b,2MASS J01225093-2439505,-82.5199,195.45385,33.8281,14.244
2MASS J0249-0557 c,2MASS J0249-0557 A,-54.7665,181.3869,66.0613,18.3
2MASS J11550485-7919108 b,2MASS J11550485-7919108,-16.7447,300.23137,100.862,16.957
2MASS J19383260+4603591 b,2MASS J19383260+4603591,11.67426,79.01876,396.332,12.651
2MASS J21252752-8138278 b,2MASS J21252752-8138278,-32.11971,310.65078,34.1154,11.804
2MASS J22362452+4751425 b,2MASS J22362452+4751425,-9.10923,100.74846,69.5737,12.368
30 Ari B b,30 Ari B,-32.3093,151.47681,44.657,7.09209
4 UMa b,4 UMa,35.95654,151.35882,73.4603,4.5801
42 Dra b,42 Dra,27.12504,95.41912,90.6545,4.8262
47 UMa b,47 UMa,63.3677,175.78305,13.7967,5.03352
47 UMa c,47 UMa,63.3677,175.78305,13.7967,5.03352
47 UMa d,47 UMa,63.3677,175.78305,13.7967,5.03352
51 Eri b,51 Eri,-30.65764,198.61297,29.7575,5.21149
51 Peg b,51 Peg,-34.7275,90.06374,15.4614,5.45309
55 Cnc b,55 Cnc,37.69663,196.79526,12.5855,5.95084
55 Cnc c,55 Cnc,37.69663,196.79526,12.5855,5.95084
55 Cnc d,55 Cnc,37.69663,196.79526,12.5855,5.95084
55 Cnc e,55 Cnc,37.69663,196.79526,12.5855,5.95084
55 Cnc f,55 Cnc,37.69663,196.79526,12.5855,5.95084
6 Lyn b,6 Lyn,20.18918,156.97286,54.6599,5.87307
61 Vir b,61 Vir,44.08875,311.85177,8.50332,4.6955
61 Vir c,61 Vir,44.08875,311.85177,8.50332,4.6955
61 Vir d,61 Vir,44.08875,311.85177,8.50332,4.6955
7 CMa b,7 CMa,-11.79597,228.68876,19.8101,3.95
7 CMa c,7 CMa,-11.79597,228.68876,19.8101,3.95
70 Vir b,70 Vir,74.0991,337.65749,17.9011,4.96808
75 Cet b,75 Cet,-54.44177,169.94418,82.9613,5.3532
75 Cet c,75 Cet,-54.44177,169.94418,82.9613,5.3532
8 UMi b,8 UMi,39.66099,112.79492,162.552,6.83295
81 Cet b,81 Cet,-55.24995,174.48697,101.26,5.64307
91 Aqr b,91 Aqr,-61.11327,67.07416,44.0304,4.23946
AB Aur b,AB Aur,-7.98082,172.49916,162.127,7.076
AB Pic b,AB Pic,-26.93081,266.94347,50.0475,9.13
AF Lep b,AF Lep,-24.04116,214.37435,26.8564,6.332
AU Mic b,AU Mic,-36.80401,12.65304,9.7221,8.81
AU Mic c,AU Mic,-36.80401,12.65304,9.7221,8.81
AU Mic d,AU Mic,-36.80401,12.65304,9.7221,8.81
BD+03 2562 b,BD+03 2562,61.57342,269.32522,1070.63,9.577
BD+14 4559 b,BD+14 4559,-22.63172,64.41837,49.352,9.78
BD+15 2375 b,BD+15 2375,70.27244,249.00212,768.045,10.41
BD+15 2940 b,BD+15 2940,44.78011,28.10432,426.42,9.01
BD+20 2457 b,BD+20 2457,53.95226,216.04472,1539.71,9.743
BD+20 2457 c,BD+20 2457,53.95226,216.04472,1539.71,9.743
BD+20 274 b,BD+20 274,-40.23345,138.9742,1322.51,9.367
BD+20 594 b,BD+20 594,-28.05348,166.7966,179.461,10.849
BD+45 564 b,BD+45 564,-14.70463,137.23205,53.622,9.67
BD+48 738 b,BD+48 738,-9.3787,140.80848,871.493,9.139
BD+48 740 b,BD+48 740,-9.96534,141.10904,666.589,8.69
BD+49 828 b,BD+49 828,-7.80173,143.61792,442.042,9.381
BD+55 362 b,BD+55 362,-5.64657,129.03163,52.5697,9.38
BD+60 1417 b,BD+60 1417,57.0861,124.74559,44.9543,9.374
BD+63 1405 b,BD+63 1405,29.1513,93.08126,38.0473,8.96
BD-06 1339 b,BD-06 1339,-15.71602,211.65797,20.2695,9.7
BD-06 1339 c,BD-06 1339,-15.71602,211.65797,20.2695,9.7
BD-08 2823 b,BD-08 2823,34.75486,248.49513,41.3342,9.86
BD-08 2823 c,BD-08 2823,34.75486,248.49513,41.3342,9.86
BD-10 3166 b,BD-10 3166,43.23793,263.28467,84.4069,10.013
BD-11 4672 b,BD-11 4672,-1.35959,20.54287,27.1665,10.03
BD-11 4672 c,BD-11 4672,-1.35959,20.54287,27.1665,10.03
BD-13 2130 b,BD-13 2130,3.53127,230.52055,925.214,10.038
BD-14 3065 b,BD-14 3065 A,32.77156,256.57364,589.423,11.1
BD-17 63 b,BD-17 63,-77.87825,95.83026,34.4603,9.62
BD-210397 b,BD-210397,-70.45622,199.69949,23.7324,9.84
BD-210397 c,BD-210397,-70.45622,199.69949,23.7324,9.84
